run,world,policy,seed,step,current_mean_clause,current_spread_clause,current_mass_clause,current_collapse_clause,future_collapse_step,first_collapse_clause_triggered,shield_abstract_state,shield_c,shield_a,shield_label,mean_welfare,failed_zone_count,total_mass,min_zone_welfare,resource_hhi,capture_index,containment_active_count,containment_timer_max,containment_timer_sum,containment_events_this_step,delayed_obs_step,delayed_obs_mean_welfare,delayed_obs_min_welfare,delayed_obs_failed_zone_count,obs_last_aid_max,obs_last_aid_mean,obs_response_to_aid_min,obs_response_to_aid_mean,obs_neighbor_delta_min,obs_neighbor_delta_mean,obs_resource_concentration_max,obs_resource_concentration_mean,bad_consequence_count,allocation_max,allocation_min,allocation_gini,steps_to_future_collapse,assigned_witness_class,minimal_missing_information_candidate,eligible_layer_from_BA4_1,candidate_kind,confidence,reason
baseline,W1_proxy_goodhart,feature_proxy,9600,14,0,0,0,none,24,spread,"(6,11)",6,11,SAFE,0.8095892,0,452.84926084,0.65572186,0.12747838,0.47366225,0,0,0,0,11,0.86650957,0.76939573,0,1.03482909,0.66666667,0.01831866,0.06656193,-0.07248686,-0.02861433,0.51247589,0.44139959,4,0.16904518,0.04591403,0.20306264,10,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9600,15,0,0,0,none,24,spread,"(6,13)",6,13,SAFE,0.77845452,0,476.96192141,0.59916121,0.12908459,0.48257438,0,0,0,0,12,0.8527506,0.74182411,0,1.0351904,0.66666667,0.01688532,0.06785398,-0.09410055,-0.04138378,0.50264826,0.43502988,6,0.16608897,0.04574054,0.20378804,9,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9600,16,0,0,0,none,24,spread,"(6,15)",6,15,SAFE,0.74035912,0,503.89159101,0.53949182,0.13104315,0.49234921,0,0,0,0,13,0.83401568,0.70262849,0,1.03191175,0.66666667,0.0162659,0.06932745,-0.11689995,-0.05613205,0.50531489,0.43624842,7,0.15894093,0.04481717,0.20376214,8,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9600,17,0,0,0,none,24,spread,"(6,18)",6,18,SAFE,0.69728439,0,533.67283724,0.50456016,0.13324452,0.50289217,0,0,0,0,14,0.8095892,0.65572186,0,1.01427105,0.66666667,0.01555583,0.07080718,-0.14197982,-0.07303242,0.49494782,0.4306082,9,0.15387568,0.04353513,0.20476117,7,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9600,18,0,0,0,none,24,spread,"(6,21)",6,21,SAFE,0.64348597,0,567.55938741,0.41042151,0.13602835,0.51445406,0,0,0,0,15,0.77845452,0.59916121,0,0.99653382,0.66666667,0.0146885,0.07222516,-0.16989518,-0.09291941,0.50180728,0.42560182,9,0.15637472,0.04214021,0.21070763,6,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9600,19,0,0,0,none,24,spread,"(6,24)",6,24,SAFE,0.58563163,0,607.17773855,0.34858685,0.13962588,0.52775007,0,0,0,0,16,0.74035912,0.53949182,0,0.95364559,0.66666667,0.01370557,0.07379689,-0.192195,-0.11344672,0.48380856,0.41906354,9,0.15584802,0.04009183,0.21280926,5,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9600,20,0,0,0,none,24,spread,"(6,28)",6,28,SAFE,0.52470212,0,653.68890529,0.26960673,0.14407528,0.54312137,0,0,0,0,17,0.69728439,0.50456016,0,0.92325409,0.66666667,0.01301507,0.0751317,-0.17650032,-0.12712626,0.47422995,0.41869911,9,0.16355357,0.03860266,0.21313635,4,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9600,21,0,0,0,none,24,spread,"(7,31)",7,31,SAFE,0.47088863,0,710.70488263,0.21434858,0.14974858,0.56096262,0,0,0,0,18,0.64348597,0.41042151,0,0.93824835,0.66666667,0.01178738,0.07594486,-0.22162369,-0.15646513,0.47556399,0.41024238,9,0.17338362,0.03684324,0.22871781,3,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9600,22,0,0,0,none,24,spread,"(7,34)",7,34,SAFE,0.41705394,1,781.2610542,0.16870676,0.15724518,0.58269422,0,0,0,0,19,0.58563163,0.34858685,0,0.93508809,0.66666667,0.01083578,0.07633958,-0.27834627,-0.16447399,0.4737086,0.41318791,9,0.15950907,0.0361371,0.23296656,2,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9600,23,0,0,0,none,24,spread,"(7,37)",7,37,SAFE,0.36984968,3,874.11403218,0.10174098,0.16784707,0.60894796,0,0,0,0,20,0.52470212,0.26960673,0,0.98132142,0.66666667,0.01002119,0.07610976,-0.30236538,-0.16766449,0.47496127,0.40828141,9,0.17249992,0.03602868,0.24266388,1,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9601,0,0,0,0,none,24,spread,"(5,16)",5,16,SAFE,0.72114458,0,254.80094202,0.65860107,0.11970173,0.40287299,0,0,0,0,0,0.67433924,0.61900218,0,0.0,0.0,0.0,0.0,0.0,0.0,0.70247934,0.60590035,0,0.15944866,0.02944168,0.21290726,24,forward_dynamics_blind,bounded future reachability / time-to-collapse,L4 plus conditional L1 temporal,temporal,high,Current concrete state is not collapsed; false-safe status comes from later concrete collapse under future dynamics.
baseline,W1_proxy_goodhart,feature_proxy,9601,1,0,0,0,none,24,spread,"(5,14)",5,14,SAFE,0.76568286,0,264.02065407,0.68357669,0.11986335,0.40581595,0,0,0,0,0,0.67433924,0.61900218,0,0.0,0.0,0.0,0.0,0.0,0.0,0.70247934,0.60590035,0,0.15944866,0.02944168,0.21290726,23,forward_dynamics_blind,bounded future reachability / time-to-collapse,L4 plus conditional L1 temporal,temporal,high,Current concrete state is not collapsed; false-safe status comes from later concrete collapse under future dynamics.
baseline,W1_proxy_goodhart,feature_proxy,9601,2,0,0,0,none,24,spread,"(5,11)",5,11,SAFE,0.80773733,0,273.76337708,0.70752955,0.1200586,0.40897604,0,0,0,0,0,0.67433924,0.61900218,0,0.0,0.0,0.0,0.0,0.0,0.0,0.70247934,0.60590035,0,0.15944866,0.02944168,0.21290726,22,forward_dynamics_blind,bounded future reachability / time-to-collapse,L4 plus conditional L1 temporal,temporal,high,Current concrete state is not collapsed; false-safe status comes from later concrete collapse under future dynamics.
baseline,W1_proxy_goodhart,feature_proxy,9601,3,0,0,0,none,24,spread,"(5,9)",5,9,SAFE,0.84571716,0,284.08560311,0.73063394,0.12029427,0.41254781,0,0,0,0,0,0.72114458,0.65860107,0,0.95669196,0.66666667,0.02361214,0.08522065,0.06785297,0.10651546,0.70320062,0.59331797,6,0.15787137,0.03059043,0.21063051,21,policy_visible_concentration_blind,Obs.resource_concentration > 0.62,conditional L2/L3,variable_threshold,medium,"Delayed policy-visible resource concentration crosses the bad-consequence threshold, distinct from reporting HHI."
baseline,W1_proxy_goodhart,feature_proxy,9601,4,0,0,0,none,24,spread,"(5,8)",5,8,SAFE,0.87156232,0,295.06888779,0.75334781,0.12055337,0.41645494,0,0,0,0,1,0.76568286,0.68357669,0,0.95669196,0.66666667,0.02322584,0.08499734,0.06285001,0.10050651,0.69276008,0.57808233,6,0.15304373,0.03177592,0.20461328,20,policy_visible_concentration_blind,Obs.resource_concentration > 0.62,conditional L2/L3,variable_threshold,medium,"Delayed policy-visible resource concentration crosses the bad-consequence threshold, distinct from reporting HHI."
baseline,W1_proxy_goodhart,feature_proxy,9601,5,0,0,0,none,24,spread,"(5,7)",5,7,SAFE,0.887546,0,306.83306563,0.77551625,0.12088109,0.42071731,0,0,0,0,2,0.80773733,0.70752955,0,0.95669196,0.66666667,0.02281762,0.08473913,0.05733087,0.09392366,0.66995034,0.56244717,6,0.15563856,0.03262792,0.20275482,19,policy_visible_concentration_blind,Obs.resource_concentration > 0.62,conditional L2/L3,variable_threshold,medium,"Delayed policy-visible resource concentration crosses the bad-consequence threshold, distinct from reporting HHI."
baseline,W1_proxy_goodhart,feature_proxy,9601,6,0,0,0,none,24,spread,"(5,6)",5,6,SAFE,0.89552305,0,319.38885961,0.79734578,0.12126407,0.42531823,0,0,0,0,3,0.84571716,0.73063394,0,0.94722819,0.66666667,0.02277138,0.08311184,0.05096012,0.08453067,0.66001918,0.54667625,4,0.15523225,0.0324261,0.19911056,18,policy_visible_concentration_blind,Obs.resource_concentration > 0.62,conditional L2/L3,variable_threshold,medium,"Delayed policy-visible resource concentration crosses the bad-consequence threshold, distinct from reporting HHI."
baseline,W1_proxy_goodhart,feature_proxy,9601,7,0,0,0,none,24,spread,"(5,6)",5,6,SAFE,0.90023538,0,332.70659572,0.81107382,0.12168984,0.4301379,0,0,0,0,4,0.87156232,0.75334781,0,0.91826237,0.66666667,0.02272436,0.07357657,0.04402741,0.05894804,0.63939129,0.51841591,2,0.15535225,0.03292173,0.20022651,17,policy_visible_concentration_blind,Obs.resource_concentration > 0.62,conditional L2/L3,variable_threshold,medium,"Delayed policy-visible resource concentration crosses the bad-consequence threshold, distinct from reporting HHI."
baseline,W1_proxy_goodhart,feature_proxy,9601,8,0,0,0,none,24,spread,"(5,6)",5,6,SAFE,0.90251763,0,346.80449912,0.8166462,0.12223809,0.43534832,0,0,0,0,5,0.887546,0.77551625,0,0.93383137,0.66666667,0.02243851,0.06674509,0.00234681,0.03660473,0.61329127,0.49172592,0,0.15433779,0.03361188,0.20066055,16,forward_dynamics_blind,bounded future reachability / time-to-collapse,L4 plus conditional L1 temporal,temporal,high,Current concrete state is not collapsed; false-safe status comes from later concrete collapse under future dynamics.
baseline,W1_proxy_goodhart,feature_proxy,9601,9,0,0,0,none,24,spread,"(5,6)",5,6,SAFE,0.90264798,0,361.90900025,0.82112346,0.12284406,0.44089982,0,0,0,0,6,0.89552305,0.79734578,0,0.93139352,0.66666667,0.02185532,0.06185753,0.0005061,0.01797216,0.59728452,0.47375878,0,0.15231023,0.0342564,0.20043773,15,forward_dynamics_blind,bounded future reachability / time-to-collapse,L4 plus conditional L1 temporal,temporal,high,Current concrete state is not collapsed; false-safe status comes from later concrete collapse under future dynamics.
baseline,W1_proxy_goodhart,feature_proxy,9601,10,0,0,0,none,24,spread,"(5,6)",5,6,SAFE,0.89982984,0,378.19259524,0.82429017,0.1235252,0.44685578,0,0,0,0,7,0.90023538,0.81107382,0,0.93211349,0.66666667,0.02148265,0.06205497,-0.0034016,0.00966727,0.54665676,0.46115066,0,0.15041941,0.03483893,0.19893407,14,forward_dynamics_blind,bounded future reachability / time-to-collapse,L4 plus conditional L1 temporal,temporal,high,Current concrete state is not collapsed; false-safe status comes from later concrete collapse under future dynamics.
baseline,W1_proxy_goodhart,feature_proxy,9601,11,0,0,0,none,24,spread,"(5,6)",5,6,SAFE,0.89286431,0,395.69560564,0.82603646,0.12436219,0.45330976,0,0,0,0,8,0.90251763,0.8166462,0,0.92602672,0.66666667,0.02112051,0.06352371,-0.01544099,0.00261811,0.54993007,0.45362859,0,0.15104331,0.03542494,0.19956274,13,forward_dynamics_blind,bounded future reachability / time-to-collapse,L4 plus conditional L1 temporal,temporal,high,Current concrete state is not collapsed; false-safe status comes from later concrete collapse under future dynamics.
baseline,W1_proxy_goodhart,feature_proxy,9601,12,0,0,0,none,24,spread,"(6,7)",6,7,SAFE,0.88039907,0,414.53216682,0.8262062,0.12539905,0.46007254,0,0,0,0,9,0.90264798,0.82112346,0,0.91386138,0.66666667,0.0207198,0.06562156,-0.02705691,-0.00359078,0.55414273,0.44884638,0,0.15023233,0.03575648,0.19646808,12,forward_dynamics_blind,bounded future reachability / time-to-collapse,L4 plus conditional L1 temporal,temporal,high,Current concrete state is not collapsed; false-safe status comes from later concrete collapse under future dynamics.
baseline,W1_proxy_goodhart,feature_proxy,9601,13,0,0,0,none,24,spread,"(6,8)",6,8,SAFE,0.86253854,0,435.24037145,0.79253731,0.12654119,0.4675962,0,0,0,0,10,0.89982984,0.82429017,0,0.90251646,0.66666667,0.0202431,0.06734183,-0.03962775,-0.01140687,0.55674106,0.44426831,1,0.14949353,0.03607251,0.19468448,11,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9601,14,0,0,0,none,24,spread,"(6,10)",6,10,SAFE,0.83843223,0,457.6893281,0.74984986,0.12793401,0.47573085,0,0,0,0,11,0.89286431,0.82603646,0,0.90625986,0.66666667,0.01787425,0.06842958,-0.05496068,-0.02256792,0.53857988,0.44027987,3,0.14960791,0.03619131,0.1931678,10,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9601,15,0,0,0,none,24,spread,"(6,11)",6,11,SAFE,0.80744097,0,482.60554015,0.6968429,0.12962089,0.48471258,0,0,0,0,12,0.88039907,0.8262062,0,0.90139401,0.66666667,0.0172294,0.06880789,-0.07531339,-0.0375267,0.54371656,0.43907557,6,0.14991035,0.03598274,0.19341763,9,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9601,16,0,0,0,none,24,spread,"(6,14)",6,14,SAFE,0.7684874,0,510.30563709,0.63229936,0.13157373,0.49472947,0,0,0,0,13,0.86253854,0.79253731,0,0.89696115,0.66666667,0.01652642,0.0698685,-0.09910378,-0.05341289,0.5486808,0.44038201,8,0.15191874,0.03556957,0.19484092,8,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9601,17,0,0,0,none,24,spread,"(6,16)",6,16,SAFE,0.71950163,0,540.92181825,0.55065325,0.13401514,0.50563044,0,0,0,0,14,0.83843223,0.74984986,0,0.89764746,0.66666667,0.0157804,0.07105345,-0.12552142,-0.07193807,0.54630264,0.43765105,9,0.15386739,0.03479571,0.19805212,7,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9601,18,0,0,0,none,24,spread,"(6,20)",6,20,SAFE,0.66202852,0,576.48816481,0.4652784,0.13687789,0.51795673,0,0,0,0,15,0.80744097,0.6968429,0,0.89946209,0.66666667,0.01499214,0.07251769,-0.1557573,-0.09237168,0.53658252,0.43859479,9,0.1538541,0.03382607,0.20147694,6,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9601,19,0,0,0,none,24,spread,"(6,24)",6,24,SAFE,0.59728758,0,617.90077602,0.3771236,0.14045819,0.53164789,0,0,0,0,16,0.7684874,0.63229936,0,0.91151247,0.66666667,0.01408502,0.07420683,-0.19089211,-0.11596072,0.54636736,0.43299618,9,0.15620915,0.0325809,0.20778643,5,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9601,20,0,0,0,none,24,spread,"(6,27)",6,27,SAFE,0.536558,0,667.18209776,0.29980132,0.1449183,0.54759196,0,0,0,0,17,0.71950163,0.55065325,0,0.92320432,0.66666667,0.01221839,0.07535143,-0.23461939,-0.14440722,0.52235902,0.42962582,9,0.15573284,0.03122538,0.21283119,4,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9601,21,0,0,0,none,24,spread,"(7,31)",7,31,SAFE,0.48012017,0,727.0040792,0.21970139,0.15057056,0.56601998,0,0,0,0,18,0.66202852,0.4652784,0,0.9231246,0.66666667,0.01011991,0.07633286,-0.25793346,-0.16724866,0.53659046,0.42882729,9,0.15965503,0.02971155,0.21821318,3,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9601,22,0,0,0,none,24,spread,"(7,33)",7,33,SAFE,0.43127526,1,801.30815231,0.17788053,0.15791682,0.58728398,0,0,0,0,19,0.59728758,0.3771236,0,0.9372549,0.66666667,0.00946384,0.07624144,-0.31636644,-0.18395305,0.52200077,0.42729624,9,0.15703733,0.02862878,0.21999657,2,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9601,23,0,0,0,none,24,spread,"(7,36)",7,36,SAFE,0.38762665,3,898.84068479,0.11823204,0.16772065,0.61380948,0,0,0,0,20,0.536558,0.29980132,0,0.93439705,0.66666667,0.00858343,0.07628511,-0.25179642,-0.16582872,0.50913153,0.43125918,9,0.15992854,0.02891312,0.21518779,1,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
